# SOURCE: Riazi M.R. (2005) Characterization and Properties of Petroleum Fractions, ASTM Manual MNL50, Table 4.6, page 162 (book) / PDF page 181
# Physical properties of SCN (Single Carbon Number) groups, C6 to C50
# This table is a FALLBACK resource for cases where measured M or SG of pseudocomponents is unavailable
# In petrochar's primary workflow, M_i and SG_i are computed from per-cut Tb_i via Riazi-Daubert correlations
# Use Table 4.6 only when the user-provided distillation curve data is insufficient
# Units: M (g/mol), Tb (K), SG dimensionless, n_20 dimensionless, d_20 (g/cm^3), Tc (K), Pc (bar), dc (g/cm^3), Zc dimensionless, omega dimensionless, sigma (dyne/cm), delta ((cal/cm^3)^0.5)
# Note: Tc and Pc calculated from Lee-Kesler (Eqs. 2.69-2.70 in Riazi); dc from Eq. 2.98; for N_C > 20, omega from Eq. 2.105
Carbon_No,M_g_per_mol,Tb_K,SG,n_20,d_20,Tc_K,Pc_bar,dc_g_per_cm3,Zc,omega,sigma_dyne_per_cm,delta_solubility
6,84,337,0.690,1.395,0.686,510.3,34.4,0.241,0.275,0.255,18.6,7.25
7,95,365,0.727,1.407,0.723,542.6,31.6,0.245,0.272,0.303,21.2,7.41
8,107,390,0.749,1.417,0.743,570.2,29.3,0.246,0.269,0.346,23.0,7.53
9,121,416,0.768,1.426,0.762,599.0,26.9,0.247,0.265,0.394,24.4,7.63
10,136,440,0.782,1.435,0.777,623.7,25.0,0.251,0.261,0.444,25.4,7.71
11,149,461,0.793,1.442,0.790,645.1,23.5,0.254,0.257,0.486,26.0,7.78
12,163,482,0.804,1.448,0.802,665.5,21.9,0.256,0.253,0.530,26.6,7.83
13,176,500,0.815,1.453,0.812,683.7,20.6,0.257,0.249,0.570,27.0,7.88
14,191,520,0.826,1.458,0.822,700.9,19.6,0.262,0.245,0.614,27.5,7.92
15,207,539,0.836,1.464,0.831,716.5,18.5,0.267,0.241,0.661,27.8,7.96
16,221,556,0.843,1.468,0.839,732.1,17.6,0.269,0.237,0.701,28.1,7.99
17,237,573,0.851,1.472,0.847,745.6,16.7,0.274,0.233,0.746,28.3,8.02
18,249,586,0.856,1.475,0.852,758.8,15.9,0.274,0.229,0.779,28.5,8.05
19,261,598,0.861,1.478,0.857,771.1,15.2,0.275,0.226,0.812,28.6,8.07
20,275,611,0.866,1.481,0.862,782.7,14.7,0.278,0.222,0.849,28.8,8.09
21,289,624,0.871,1.484,0.867,793.8,14.0,0.281,0.219,0.880,28.9,8.11
22,303,637,0.876,1.486,0.872,804.9,13.5,0.283,0.215,0.914,29.0,8.13
23,317,648,0.881,1.489,0.877,814.2,13.0,0.287,0.212,0.944,29.1,8.15
24,331,660,0.885,1.491,0.880,824.1,12.5,0.289,0.209,0.977,29.2,8.17
25,345,671,0.888,1.493,0.884,833.3,12.0,0.291,0.206,1.007,29.3,8.18
26,359,681,0.892,1.495,0.888,841.7,11.7,0.295,0.203,1.034,29.3,8.20
27,373,691,0.896,1.497,0.891,850.2,11.3,0.298,0.200,1.061,29.4,8.21
28,387,701,0.899,1.499,0.895,858.2,10.9,0.301,0.197,1.091,29.4,8.22
29,400,710,0.902,1.501,0.898,865.5,10.6,0.303,0.194,1.116,29.5,8.24
30,415,720,0.905,1.503,0.901,873.5,10.2,0.306,0.191,1.146,29.5,8.25
31,429,728,0.909,1.504,0.904,880.1,10.0,0.310,0.189,1.169,29.6,8.26
32,443,737,0.912,1.506,0.906,887.4,9.7,0.312,0.187,1.195,29.6,8.27
33,457,745,0.915,1.507,0.909,894.0,9.5,0.316,0.184,1.218,29.7,8.28
34,471,753,0.917,1.509,0.912,900.2,9.2,0.319,0.182,1.244,29.7,8.29
35,485,760,0.920,1.510,0.914,906.1,9.0,0.323,0.180,1.263,29.7,8.30
36,499,768,0.922,1.511,0.916,912.2,8.8,0.325,0.177,1.289,29.8,8.31
37,513,775,0.925,1.512,0.918,917.7,8.6,0.328,0.175,1.311,29.8,8.32
38,528,782,0.927,1.514,0.920,923.1,8.3,0.332,0.173,1.333,29.8,8.33
39,542,789,0.929,1.515,0.922,928.6,8.2,0.335,0.171,1.355,29.8,8.34
40,556,795,0.931,1.516,0.924,933.4,8.0,0.338,0.169,1.374,29.9,8.35
41,570,802,0.933,1.517,0.926,938.8,7.8,0.341,0.167,1.396,29.9,8.35
42,584,808,0.934,1.518,0.928,943.6,7.7,0.344,0.165,1.415,29.9,8.36
43,599,814,0.936,1.519,0.930,948.4,7.5,0.348,0.164,1.434,29.9,8.36
44,614,820,0.938,1.520,0.932,952.5,7.4,0.353,0.163,1.448,29.9,8.37
45,629,826,0.940,1.521,0.933,956.9,7.2,0.356,0.160,1.470,29.9,8.38
46,641,831,0.941,1.522,0.935,961.6,7.1,0.358,0.159,1.489,30.0,8.38
47,656,836,0.943,1.523,0.936,965.7,7.0,0.362,0.158,1.504,30.0,8.39
48,670,841,0.944,1.524,0.938,969.4,6.9,0.366,0.156,1.522,30.0,8.39
49,684,846,0.946,1.524,0.939,973.5,6.8,0.369,0.155,1.537,30.0,8.40
50,698,851,0.947,1.525,0.940,977.2,6.6,0.372,0.153,1.555,30.0,8.40
